tweet,sentiment
"Coming off of work now waiting for my ride to get here. #essential #worker #life #selfie #coronavirus #mask #beverlyhills #lametro #studiophotography @ Beverly Hills, California https://t.co/J5gaI6sU3z",0.0
"Daughter’s High School ceramics project... Oh, how we’ll look back on this time in history 

#stayhome #facemask #covid19 #influencedchoices @ Oakland, California https://t.co/VyLlSGfJOO",0.08
"ever since non-essential businesses were forced to close due to the #coronavirus #pandemic, i've worked out a deal with my friend @kathmandu2005 from @kathmandu2005: i pay her to cook dinner for me once a week, and… https://t.co/GxdkfanDv8",-0.2125
"WEEK 5 film out! Link in bio or see IGTV ( part of my COVID FILMS) @ Clifton, New Jersey https://t.co/egF8u8oMnX",0.13636363636363635
"TGIF!  43+ days ago.  Nothing more to say. I miss the crazy wonderful hard beautiful sweet life the way it was before #coronavirus 

Think back in April, share with me 5 things you recall doing? For me it was hard,… https://t.co/cnqlGjDMS0",0.18958333333333333
"Grilled sweet onions and grilled corn on the cob to go with that flank steak.  😋 
#onions #grilling #food #outdoorgrilling #corn #cornonthecob #outdoors #bbq #grilled #dinner #saturdaynightdinner @ Corona, California https://t.co/FhOJOVZspn",0.35
"A beautiful #newengland day for a #bikeride (27 miles) but also very poignant - my turnaround point at a #covid19 testing center run by cvspharmacy; a long line of cars waited, last week there was no line; some of… https://t.co/gC8Fqymx0L",0.14
"Still making dad’s garlic cheese bread.  #cooking #garlicbread #bread #grilling #garlic #food #cheese #carbs @ Corona, California https://t.co/zlUy4TBMMJ",0.0
"5 beds, 5.5 baths, 4600 sq ft...$3,495,000 🏘 contact me for all of your real estate needs 📲 #StudioCity #RealEstate #Pool #saturday #home #family #invest #asset #equity #covid19 #lockdown #quarantine @ Studio City,… https://t.co/T1EbOf0v9A",0.2
"Week 6 Covid-19. I finished all my blocks for Modern Society quilt club, sewed designer masks (these are my favorites) Mr. Spur made me shoe racks for the closet, cleaned the closets that were ignored, made 150… https://t.co/HWoT6pYY4s",0.2
Braving the corona @ Dairy Queen Grill &amp; Chill https://t.co/kVZ4xI8kH1,0.0
"Surviving week four and five of the COVID-19 break and quarantine but cannot wait for it to be over like...🤣 #SwayApp @ Riverside, California https://t.co/WhYQotjqeG",0.0
"Sorry for MIA - I hope everyone is safe and well.
. 
I will be hanging out with my brother @justinprimitive from @igtthailand kicking it with brother @Noitchinori from asialounges on the Gem Trade and Covid… https://t.co/tLgfV4d9jI",0.0
Meat and potato type of Saturday #blackstonegriddle #sandiego #yummy #covid19 #selfisolation #bearhandsmovement #anipaaday @ Beezeez Kitchen https://t.co/86cUyCfOah,0.0
"“This Love Is Silent.”~ T.S. Eliot 💙
.
.
.
#myrtlebeachsc #mymyrtlebeach #officialmyrtlebeach #myrtlebeachdays #exploremyrtlebeach #quiet #silent #covid19 #lifeinterrupted #quarantined #getoutside #explore #nature… https://t.co/KZlbfR2c6p",0.125
"Quality time with family 😍. Enjoy your time. Will not last forever.
#hedbanz #saturdaynight #stayhome #gamenight #covid #familytime #qualitytime #quarentine #quarentinelife #quedateencasa #marriedwithchildren… https://t.co/hIubHSX3bf",0.2
Love in the time of Covid #wpg #wirehairedpointinggriffon #lupin #outside @ Mori Point https://t.co/nBtKRVN4LT,0.25
When you haven't seen your friend since March 10th ..   ughhh    go away covid...  i miss my friends. Hope everyone is doing good.   Miss you all...    hope to be back at the gym and school soon.!!! #tanfromtumbling… https://t.co/93rgLS3stN,0.35
"gibsonthed0g wanted me to tell you hello. #dogsofinstagram #dogs #quarantine #covid_19 #coronavirus #dogsmakemehappy @ Austin, Texas https://t.co/0VBdLWUlBA",0.0
"Surviving week four and five of the COVID-19 break and quarantine but still cannot go anywhere like...🤣 #SwayApp @ Riverside, California https://t.co/ZOk8hIrP6c",0.0
"While You are home because of COVID19
Attend our Online Tax School for Free in May

Learn 
✅ Basic Tax Law
✅ Itemized Deductions
✅ Trump Tax Law Changes
✅ &amp; Much More

🌍 Today $0
🌍Regular Price $99.99 
🌍Get The GBC… https://t.co/zTSzPp804w",0.225
"QUARANTINE CHRONICLES 21
-
2020 Covid-19 Pandemic
-
🐽 If you don’t know, you won’t know. @ Washington Virginia Vale, Denver https://t.co/7yD5w3Oczw",0.0
Honored to serve Thai meals to our  @UCPDLA tonight! Thank you for taking good care of our community 🙏 #feedthefrontline #teamla #UCLAPD #besthospital #covid #firstresponders #doctors #nurses… https://t.co/9wNLZXiiEI,0.7
"What does a dinner date look like in the midst of 2020 COVID chaos? This right here. Preparing a meal and connecting digitally. While life is chaotic and things are less than ideal, I for one will not stop living… https://t.co/JwtlspUUwh",0.25476190476190474
Your livestream doesn't have to suck. https://t.co/X7mdGm29F9 #help #live #stream #funny #kids #filmphotography #fail #random #actor #music #covid19 #coronavirus #diy #tv #lifehack @ Grant Park Manor https://t.co/ISqMkiRgeU,0.0
"#NoShame There is no shame in getting help when you need it.⁠
⁠
⁠
🍑 The coronavirus public health emergency has drove the economy off a cliff, and this is the time to seek help because you are not alone.⁠
⁠
⁠
🍋… https://t.co/wAeq7C3iN4",0.0
"COVID-19 update @ Queens, New York https://t.co/78iYgcxqZk",0.13636363636363635
"Covid Baking Chronicles Day __???
I've always loved that #honeywheatbread that they serve everyone at cheesecakefactory so I decided to make my own and share with my neighbours.  We've been shopping for each other… https://t.co/QEKnAEUrTN",0.3916666666666666
"We were supposed to be on the Kentucky Bourbon Trail this past week, followed by Chicago for the Cubs vs. Phillies games today and tomorrow... but Covid-19 isn’t going to ruin all our fun!! We’re having just as much… https://t.co/LFxQVkwa8T",0.13958333333333334
"#UVida is not a prophylaxis for #COVID19 @ Las Vegas, Nevada https://t.co/WQ2zSYes9w",0.0
"I love reopening 🥵
Indeed never could be assumed have a piece of restaurant tacos by the street is a dream.
.
#coronavirus #reopenamerica #reopening #reopeneorld #ihatequarantine #letmelive #losangeles #hollywood #… https://t.co/ut7kIYBO3v",0.5
"ATTENTION CITIZENS. As a COVID-19 precaution, the Stockbridge City Council will hold an online Zoom meeting for its April Work Session on this Tuesday, April 28, 2020 at 6 pm EST. See the Zoom link below. Click the… https://t.co/94xBfXyQmr",0.0
Just letting you know what happened today.  #comic #webcomic #webcomics #webcomicseries #webcomicsofinstagram #dailycomics #dailycomicstrip  #cartoon #comicstrip #currentevents #coronavirus #selfisolation… https://t.co/u5rKVUalbl,0.25
"Happy bday ezeesnow 🖕🏽 #coronaVirus its my sis bday @ Oakland, California https://t.co/YUog0k3ESm",0.8
I haven’t lifted weights in 6 weeks! Just doing cardio! Wish I had a gym! Lol FUCK CORONAVIRUS!!! 🖕🏽🖕🏽https://t.co/Ncvio9eFvT groissfit #cardio #fitfam #pecs #chest #arms #shoulders #menshaircuts #menshairstyles #shirtless… https://t.co/ThPyphojSo,0.009375000000000022
"Day 43, AKA the day the windows got cleaned. W started his day watching the @sesamestreet COVID-19 town hall, and then helping out with chores. AB snuck into our bed to laze around, and W experimented in the alley… https://t.co/01DdGoeMqs",0.0
This may be one sign of the times we may actually miss once this is all over. #covid19 #openforbusiness #california #margarita @ Avila's El Ranchito - Foothill Ranch https://t.co/JjWZz6KBpl,0.0
"#nintendo #nintendoswitchlite #nintendoswitchlitememes #nintendoswitchlitequotes #playing #lifestyle #game #person #coronavirusmemes😂😂😂 #coronavirus #thesayingspages #breakingnews #gamergirl @ Boston, Massachusetts https://t.co/NQo58lbF0h",-0.4
"MAY 11th ‼️👀
“FRAT BITCH” OFFICIAL MUSIC VIDEO
💯💸💤
.
.
.

.
.
.
.
.
.

#StevieBryant #TrapStarPrince #LilRasta #coronavirus #virus #MotionFlare #videography #video #2020 #explore #worldstar #california #InlandEmpire… https://t.co/YzZnXsYKjJ",0.0
"👈 LEFT or RIGHT 👉 or somewhere in the 👉 MIDDLE 👈 we ALL have THIS  💇‍♂️ 💇‍♀️ in common‼  😷

#quarantine #quarantinelife #hairdresser #hairdresserday #stayhome #savelives #covid_19 #covid @ Murrieta, California https://t.co/NkmkWf3fjX",-0.045758928571428575
"Snow globes are a recognized symbol of Apothecaries. During a pandemic, they were filled with RED WATER to alert people of the threat. The red water runneth over at our Pharmacy Museum since Covid19 took over our… https://t.co/2KLGVs4ypG",0.13333333333333333
"Chinese activists detained after sharing censored coronavirus material!

 https://t.co/yNeYHweYD2",0.0
"BE YOUR BEST, TAKE the TEST!
.
.
.
#slogan #beyourbest #takethetest #coronavirus #antibody #test #covid_19 #losangeles #california #gavinnewsom #ericgarcetti #funding #government #calltoaction #gettested #wartime… https://t.co/buDJ3NGDxS",1.0
"Reposted from @hot97 #DMX gave a Word from the Bible to comfort fans during the #COVID19 pandemic 🙏🏾 - Link In Bio  - #regrann @ Atlanta, Georgia https://t.co/731aKHVk4g",0.0
"Kenny Rogers and his horse Patch. Ok, it’s really #panda🐼 and me taking a drive to escape the claustrophobia from #stayathome. 
,
,
,
#covid19 #quarantinelife #daddyslittlegirl #dogismycopilot @ Los Angeles, California https://t.co/tSIkrWRdaY",0.35
"COVID-19 update @ Bronx, New York https://t.co/DcCv4woMLB",0.13636363636363635
"In this time of #coronavirus safety, #wearyourmask 
Colors are fun. Which is your favorite #color 
🤔😺🤣😷😷😷 @ Tower District, Fresno https://t.co/dEQX8HuxDG",0.4
"COVID-19 update @ Queens, New York https://t.co/IsW72PlQUw",0.13636363636363635
"COVID-19 update @ Brooklyn, New York https://t.co/xWa4Q6TUJk",0.13636363636363635
"Corona Survival

Designs are also available in the form of t-shirts, hoodie, long sleeve, phone case, laptop case, mug etc.

#teepublic #tees #teesdesign #tshirt #tshirtdesign #design #pillow #tote #tapestry… https://t.co/OpUb2KKgwf",0.17500000000000002
"COVID-19 update @ Staten Island, New York https://t.co/GUrRA23Car",0.13636363636363635
"COVID -19  on the month. Meanwhile Making Music. ""Very Well"". @ Los Angeles, California https://t.co/MFLIx1fD9a",0.2
WHOSE THE IGUY FROM HARRIS COUNTY MASK ORDERS SPELLING MASTER #harriscountymaskorder #banana #harriscounty #mask #covid_19 #coronavirus #corona #covid19 #spelling  #oahumanstruckbylighting… https://t.co/GQTSJnrrH3,0.0
